filename;prompt
anorexia-life-insurance-supportive-advisor-client-featured;A warm, empathetic shot focusing on the supportive interaction between a client and a female insurance advisor in a comfortable, non-corporate setting.
anorexia-life-insurance-balanced-scale-health-midcon;A simple, clean graphic showing a balanced scale with a heart on one side and a brain on the other, symbolizing the connection between physical and mental well-being in recovery.
arthritis-life-insurance-joyful-gardening-active-banner;A vibrant photo of a middle-aged person joyfully gardening in a beautiful British garden, showing that an active life is possible with arthritis.
arthritis-life-insurance-professional-advisor-reassurance-featured;A warm and professional close-up shot of an advisor's hands pointing to a section in a life insurance document, reassuring a client in a bright, comfortable office.
arthritis-life-insurance-joint-comparison-graphic-midcon;A clear and simple animated graphic that distinguishes between a healthy joint, a joint with osteoarthritis (worn cartilage), and a joint with rheumatoid arthritis (inflamed synovium).
aspergers-syndrome-focused-special-interest-banner;A creative and positive image of a young adult with Asperger's syndrome, focused and engaged in their special interest, such as coding or illustrating, in a calm and organised personal space.
aspergers-syndrome-inclusive-workplace-collaboration-featured;A clear, professional photo of a diverse group of people in a modern office, collaborating on a project, symbolising an inclusive and understanding workplace.
aspergers-syndrome-neurodiversity-pathways-graphic-midcon;A simple, elegant graphic icon of a brain with interconnected, colourful pathways, representing the unique neurodiversity of the autism spectrum.
atrial-fibrillation-active-cycling-healthy-banner;A positive and active older adult is seen cycling along a UK canal towpath, looking healthy and happy, demonstrating life is not limited by a heart condition.
atrial-fibrillation-reassuring-advisor-policy-featured;A close-up and reassuring shot of an insurance advisor's hands, calmly explaining a policy document to a client across a wooden table in a bright, welcoming office.
atrial-fibrillation-heart-rhythm-graphic-midcon;A clear, animated graphic of a heart showing the difference between a normal sinus rhythm and the irregular rhythm of atrial fibrillation, for educational purposes.
atrial-septal-defect-life-goal-celebration-banner;A person who had childhood heart surgery is shown celebrating a major life achievement, like their wedding day or a graduation, looking happy and healthy.
atrial-septal-defect-compassionate-cardiologist-explanation-featured;A compassionate paediatric cardiologist is seen explaining a diagram of a heart to a parent, showing how an ASD closure device works, in a calm and reassuring clinic.
atrial-septal-defect-heart-closure-graphic-midcon;A simple animated graphic of the heart, clearly illustrating the location of a hole between the atria and how a device or patch is used to close it.
attention-deficit-disorder-creative-focus-activity-banner;A person with ADHD is shown successfully channeling their focus and creativity into a dynamic activity, like playing a musical instrument or coding on multiple screens.
attention-deficit-disorder-compassionate-psychiatrist-strategies-featured;A compassionate psychiatrist or therapist is seen talking with a young adult patient in a modern, calm office, discussing positive strategies for managing ADHD symptoms.
attention-deficit-disorder-neurodiverse-brain-graphic-midcon;A simple animated graphic of a brain, with bright, fast-moving pathways to visually represent the active and neurodiverse thinking process associated with ADHD.
autoimmune-disorders-resilient-diverse-community-banner;A diverse group of people of different ages and ethnicities, each looking resilient and positive, subtly representing the broad community of individuals living with various autoimmune conditions.
autoimmune-disorders-supportive-advisor-tablet-featured;A compassionate, professional advisor sitting with a client, both looking at a tablet screen displaying a clear and simple insurance quote, creating a sense of clarity and support.
autoimmune-disorders-immune-system-attack-graphic-midcon;A simple animated graphic of the immune system, with a small section highlighted to show how it mistakenly attacks the body's own cells in autoimmune disease.
barretts-oesophagus-healthy-active-lifestyle-banner;A healthy and active person in their 50s enjoying a scenic walk in the British countryside, conveying that life can be fully lived with a well-managed digestive condition.
barretts-oesophagus-positive-doctor-consultation-featured;A close-up, reassuring shot of a doctor showing a patient a positive result on a tablet screen during a consultation in a modern, bright clinic.
barretts-oesophagus-cellular-change-graphic-midcon;A clear, simple animated graphic of the oesophagus, illustrating the cellular change that occurs in Barrett's Oesophagus compared to a healthy oesophagus.
basal-cell-carcinoma-safe-sun-enjoyment-banner;A bright, positive photograph of a smiling senior person wearing a sun hat while gardening, projecting a message of enjoying life safely after a skin cancer diagnosis.
basal-cell-carcinoma-dermatologist-explanation-featured;A clean, clinical but reassuring image of a dermatologist's gloved hands pointing to a diagram of skin layers, explaining the nature of basal cell carcinoma to a patient.
basal-cell-carcinoma-successful-removal-graphic-midcon;A simple animated graphic showing the successful removal of a basal cell carcinoma from a skin layer, leaving healthy tissue behind.
bell-palsy-normal-life-social-banner;A person in their 40s laughing with friends in a bright café, conveying a sense of normalcy and joy, unhindered by a past medical condition.
bell-palsy-advisor-facial-nerve-diagram-featured;A compassionate close-up of an advisor's hands pointing to a simple, clear diagram of the facial nerve, helping a client understand Bell's Palsy in a calm, office setting.
bell-palsy-recovery-timeline-graphic-midcon;A simple timeline graphic showing the typical recovery path from Bell's Palsy, starting with symptom onset and moving to full recovery within a few months.
bipolar-life-insurance-mindfulness-meditation-banner;A person is practicing mindfulness meditation in a calm, sunlit room, conveying a sense of peace, control, and mental well-being.
bipolar-life-insurance-advisor-trust-featured;A compassionate and professional advisor listening intently to a client in a private, comfortable meeting space, building a sense of trust and understanding.
bipolar-life-insurance-brain-balance-graphic-midcon;A simple, animated graphic showing a balanced scale, representing the stability achieved through consistent treatment and management of bipolar disorder.
blindness-life-insurance-independent-navigation-city-banner;A person with a guide dog confidently navigating a busy but bright UK city street, conveying independence and a forward-looking attitude.
blindness-life-insurance-accessible-document-advisor-featured;A close-up shot of hands, one belonging to an advisor and one to a client, with the advisor pointing to a policy document printed in large, clear text for accessibility.
blindness-life-insurance-support-organisation-icons-midcon;A simple, clean graphic icon of an eye, with text alongside highlighting key support organisations like the RNIB and Guide Dogs UK.
blood-disorders-diverse-community-health-banner;A composite image showing diverse individuals of different ages and ethnicities, each looking healthy and positive, representing the wide spectrum of people living with manageable blood disorders.
blood-disorders-healthcare-professional-support-featured;A warm, reassuring shot of a healthcare professional in a clinic explaining a blood test result on a tablet to a patient, conveying clarity and support.
blood-disorders-blood-components-graphic-midcon;A clear and simple animated graphic showing the different components of blood – red cells, white cells, and platelets – to visually explain what blood disorders affect.
bowel-cancer-life-insurance-survivor-hiking-banner;A healthy-looking and optimistic person in their 50s is shown hiking a scenic coastal path in the UK, symbolising life and vitality after cancer.
bowel-cancer-life-insurance-compassionate-advisor-support-featured;A compassionate photo showing the hands of an insurance advisor gently guiding a client through a policy document on a wooden table, conveying trust and support.
bowel-cancer-life-insurance-polyp-development-graphic-midcon;A clear, simple animated graphic of the large bowel, highlighting where polyps can form and develop into cancer, for educational context.
bradycardia-life-insurance-athlete-fitness-banner;A healthy and energetic-looking athlete in their 40s finishing a run in a sunny UK park, demonstrating that a slow heart rate can be a sign of fitness.
bradycardia-life-insurance-cardiologist-consultation-featured;A close-up, reassuring photograph of a cardiologist showing a patient their healthy ECG trace on a tablet screen during a consultation.
bradycardia-life-insurance-heart-rhythm-comparison-midcon;A simple, clean animation of a human heart, showing a comparison between a normal heart rate and a slower, steady bradycardic rhythm.
brain-injury-survivor-charity-run-banner;A person who has recovered from a brain injury is shown successfully completing a charity run, looking happy and determined, supported by their family at the finish line.
brain-injury-neurologist-recovery-scan-featured;A close-up, compassionate shot of a neurologist showing a patient a clear brain scan on a tablet, explaining their successful recovery in a bright, modern clinic.
brain-injury-helmet-protection-graphic-midcon;A simple animated graphic of a brain, with a helmet icon appearing over it, visually representing protection and the importance of safety to prevent injuries.
brain-tumour-survivor-hiking-hopeful-banner;A hopeful and determined-looking person who has survived a brain tumour, is pictured hiking in the beautiful UK countryside, looking towards a bright horizon.
brain-tumour-compassionate-neurosurgeon-reassurance-featured;A compassionate neurosurgeon is seen explaining a positive post-op brain scan on a screen to a patient and their family, conveying reassurance and expertise.
brain-tumour-benign-removal-graphic-midcon;A simple animated graphic of the human brain, showing a small, well-defined benign tumour being surgically removed, clearly illustrating a successful treatment outcome.
breast-cancer-survivor-family-happiness-banner;A resilient and hopeful-looking woman in her 40s is shown laughing with her family in a bright, sunny garden, symbolising life and happiness after cancer.
breast-cancer-nurse-explaining-treatment-featured;A close-up, compassionate shot of a female breast care nurse explaining a treatment plan to a patient in a calm and supportive clinical environment.
breast-cancer-pink-ribbon-awareness-midcon;A simple, clear graphic of the Pink Ribbon, the international symbol of breast cancer awareness, to visually connect with the topic.
cancer-life-insurance-survivor-family-beach-banner;A hopeful and resilient-looking cancer survivor in their 40s, enjoying a walk on a sunny UK beach with their family, conveying a sense of a bright future.
cancer-life-insurance-doctor-positive-results-featured;A close-up, compassionate shot of a doctor gently explaining a positive test result on a chart to a patient, in a calm and modern clinic room.
cancer-life-insurance-remission-timeline-graphic-midcon;A clear and simple graphic timeline illustrating the journey from cancer diagnosis, through treatment, and into long-term remission, showing key milestones for life insurance eligibility.
cannabis-life-insurance-positive-choices-future-banner;A thoughtful person in their 30s is looking out of a window at a city-scape, contemplating their future and making responsible choices.
cannabis-life-insurance-support-group-empathy-featured;A non-judgmental, supportive image showing a close-up of two people's hands during a conversation at a support group meeting, conveying empathy and shared experience.
cannabis-life-insurance-quitting-milestone-calendar-midcon;A simple graphic of a calendar page with a "12 months" pin on it, clearly illustrating the significant milestone of being clean for past Class A drug users to get life insurance.
cardiomyopathy-life-insurance-family-walk-banner;A person with cardiomyopathy is shown enjoying a gentle walk with their family in a beautiful, calm UK forest, conveying a sense of peace and cherished family time.
cardiomyopathy-life-insurance-doctor-explanation-featured;A compassionate cardiologist is showing a patient a clear diagram of the heart on a screen, pointing out the area affected by cardiomyopathy and explaining the condition in a reassuring way.
cardiomyopathy-life-insurance-heart-comparison-graphic-midcon;A simple animated graphic comparing a healthy heart muscle to hearts with hypertrophic (thickened) and dilated (stretched) cardiomyopathy, providing clear educational context.
cardiovascular-diseases-hiking-lifestyle-banner;A healthy and active person in their 50s is seen hiking up a beautiful hill in the UK, looking out at the view with a sense of accomplishment and wellbeing.
cardiovascular-diseases-doctor-health-scan-featured;A compassionate and professional-looking doctor is explaining a healthy heart-rate graph on a tablet to a relieved-looking patient in a modern, bright clinic.
cardiovascular-diseases-health-management-icons-midcon;A simple animated graphic of a heart, with icons representing 'medication', 'exercise', 'diet', and 'check-ups' orbiting it, symbolising good management of a heart condition.
cerebral-palsy-workplace-independence-banner;A person with cerebral palsy is shown successfully working in a modern office environment, highlighting capability and independence.
cerebral-palsy-advisor-application-guidance-featured;A warm, close-up photo of an insurance advisor patiently guiding a client through an application on a tablet, with both individuals smiling.
cerebral-palsy-active-life-icons-midcon;A simple graphic icon of a person in a wheelchair, surrounded by other icons representing sport, education, and employment, conveying a message of a full and active life.
cervical-cancer-survivor-confidence-banner;A hopeful and strong-looking woman in her 30s is walking in a sunny British park, looking confidently towards the future after her recovery.
cervical-cancer-doctor-explanation-reassurance-featured;A close-up, compassionate shot of a female doctor explaining a cervical screening result to a patient in a calm and reassuring manner.
cervical-cancer-anatomy-graphic-midcon;A simple animated graphic of the female reproductive system, clearly highlighting the cervix to provide educational context about the location of the cancer.
cervical-spondylosis-pain-free-golf-banner;A healthy and happy-looking person in their 60s is shown enjoying a pain-free game of golf, illustrating that an active lifestyle is possible with a well-managed neck condition.
cervical-spondylosis-physiotherapy-demonstration-featured;A clear photograph of a physiotherapist demonstrating a simple neck stretching exercise to a patient in a bright, professional clinic setting.
cervical-spondylosis-spine-comparison-graphic-midcon;A simple animated graphic of the cervical spine (neck), clearly showing the difference between healthy vertebrae and discs, and those affected by spondylosis (e.g., bone spurs, thinning discs).
chronic-fatigue-syndrome-calm-hobby-wellbeing-banner;A person enjoying a calm and gentle activity like painting or pottery in a brightly lit room, conveying a sense of peaceful and manageable living with a chronic condition.
chronic-fatigue-syndrome-supportive-gp-consultation-featured;A compassionate and understanding GP is seen talking with a patient in a comfortable consultation room, building a sense of trust and supported health management.
chronic-fatigue-syndrome-energy-levels-graphic-midcon;A simple graphic of a battery icon, showing different levels from full to low, to visually represent the fluctuating energy levels experienced by people with ME/CFS.
coarctation-of-the-aorta-graduation-celebration-banner;A happy and healthy-looking young adult, who had childhood heart surgery, is pictured graduating from university, symbolising a full life and bright future ahead.
coarctation-of-the-aorta-cardiologist-explanation-featured;A close-up, reassuring shot of a paediatric cardiologist explaining a diagram of the aorta to a parent, showing the coarctation and the surgical repair.
coarctation-of-the-aorta-heart-surgery-graphic-midcon;A simple, clear animated graphic of the heart and aorta, showing the "narrowing" of coarctation and how surgery corrects the blood flow.
coeliac-disease-family-picnic-healthy-banner;A vibrant photo of a family enjoying a gluten-free picnic in a sunny British park, conveying health, happiness and a normal lifestyle.
coeliac-disease-healthy-shopping-basket-featured;A close-up shot of a shopping basket filled with fresh, healthy, naturally gluten-free foods like fruit, vegetables, and lean protein, symbolising good health management.
coeliac-disease-safe-food-symbol-midcon;A simple, clear graphic showing the 'Coeliac UK Crossed Grain' symbol, representing safe and trusted food choices.
coronary-angioplasty-charity-run-celebration-banner;A person who has had weight loss surgery is shown celebrating as they cross the finish line of a 10k charity race, looking fit, healthy and full of life.
coronary-angioplasty-cardiologist-positive-scan-featured;A compassionate bariatric consultant is showing a patient their impressive weight loss progress on a graph, conveying a sense of achievement and shared success.
coronary-angioplasty-artery-stent-graphic-midcon;A simple animated graphic of the stomach, clearly illustrating the differences between a gastric band, a gastric sleeve, and a gastric bypass procedure.
crohns-disease-social-life-restaurant-banner;A person with Crohn's disease is shown enjoying a meal out with friends at a restaurant, looking happy and relaxed, conveying that a full social life is possible.
crohns-disease-gastroenterologist-explanation-featured;A compassionate gastroenterologist is seen pointing to a diagram of the digestive system, clearly explaining the condition to a patient in a modern, calm clinic setting.
crohns-disease-intestine-inflammation-graphic-midcon;A simple animated graphic that illustrates the difference between a healthy intestine lining and one that is inflamed due to Crohn's Disease.
cvd-life-insurance-healthy-hiking-couple-banner;A healthy-looking and happy couple in their 50s are pictured hiking in the Peak District, conveying an active and fulfilling life is possible after a CVD diagnosis.
cvd-life-insurance-doctor-ecg-results-featured;A close-up, reassuring shot of a doctor explaining a healthy ECG reading on a screen to a patient, symbolising good management and positive outcomes.
cvd-life-insurance-atherosclerosis-graphic-midcon;A simple, animated graphic of a human heart with clear labels for arteries, showing the difference between a clear artery and one narrowed by atherosclerosis.
cystic-fibrosis-hopeful-home-treatment-banner;A hopeful image of a young adult with cystic fibrosis managing their nebuliser treatment at home, looking determined and positive towards the future.
cystic-fibrosis-advisor-guaranteed-policy-featured;A close-up, compassionate shot of a financial advisor's hands explaining a 'Guaranteed Acceptance' policy document to a client, highlighting the key terms with a pen.
cystic-fibrosis-lung-airways-graphic-midcon;A simple animated graphic of the human lungs, showing how cystic fibrosis affects the airways, to provide clear educational context.
deafness-life-insurance-bsl-workplace-banner;A deaf person is shown communicating confidently using British Sign Language (BSL) in a busy, modern workplace, highlighting capability and inclusion.
deafness-life-insurance-accessible-communication-advisor-featured;A warm, professional photo of an insurance advisor using a Relay UK text-to-speech service on a tablet to communicate clearly with a hearing-impaired client.
deafness-life-insurance-cochlear-implant-graphic-midcon;A simple animated graphic of the inner ear, showing how sound travels, with a small icon of a cochlear implant to represent modern hearing technology.
declined-life-insurance-overcoming-obstacles-banner;A person is shown successfully climbing a challenging but scenic indoor rock wall, symbolising overcoming obstacles with the right support and equipment.
declined-life-insurance-approval-comparison-featured;A split image: on the left, a red 'DECLINED' stamp on a document; on the right, a green 'APPROVED' stamp on an identical document, representing the change in outcome when using an expert.
declined-life-insurance-broker-process-flowchart-midcon;A simple flowchart graphic illustrating the process of using a specialist broker after a decline, leading from 'Decline' to 'Review' to 'Specialist Application' to 'Approval'.
dementia-life-insurance-family-legacy-support-banner;A touching photo of an elderly person's hand holding the hand of a younger family member, conveying a sense of love, support, and family legacy.
dementia-life-insurance-admiral-nurse-support-featured;A compassionate and clear image of an Admiral Nurse from Dementia UK sitting with a family in their home, providing expert advice and a listening ear.
dementia-life-insurance-brain-cognitive-function-midcon;A simple animated graphic of a brain, with certain areas glowing to represent memory and cognitive function, illustrating the areas affected by dementia.
depression-life-insurance-hopeful-wellbeing-journey-banner;A person is shown walking out of a shadowed area into a bright, sunny field, symbolising a journey towards mental wellbeing and a hopeful future.
depression-life-insurance-supportive-conversation-featured;A compassionate, close-up shot of two people having a supportive conversation over a cup of tea in a calm café, representing talking about mental health.
depression-life-insurance-brain-calm-pathways-midcon;A simple, animated graphic of a brain with colourful, positive pathways lighting up, representing the positive effects of therapy and treatment on mental health.
drug-use-life-insurance-positive-future-choice-banner;A person is shown at a crossroads in a path, one way leading to a dark, stormy sky and the other to a bright, sunny landscape, symbolising a choice towards a positive future and recovery.
drug-use-life-insurance-support-group-empathy-featured;A non-judgmental, supportive image showing a close-up of two people's hands during a conversation at a support group meeting, conveying empathy and shared experience.
drug-use-life-insurance-quitting-milestone-calendar-midcon;A simple graphic of a calendar page with a "5 Years" pin on it, clearly illustrating the significant milestone of being clean for past Class A drug users to get life insurance.
dystonia-life-insurance-professional-capability-banner;A person with cervical dystonia is shown confidently and successfully giving a presentation in a modern office, conveying professionalism and capability.
dystonia-life-insurance-neurologist-consultation-featured;A close-up, compassionate shot of a neurologist explaining a brain scan on a screen to a patient, illustrating the diagnostic and treatment process in a clear, supportive manner.
dystonia-life-insurance-brain-signals-graphic-midcon;A simple, animated graphic of the human brain with signals travelling down the spinal cord, showing a clear pathway versus a "scrambled" pathway to illustrate the cause of dystonia.
endometriosis-life-insurance-wellbeing-yoga-banner;A woman in her 30s is pictured practicing yoga peacefully in a bright, sunlit room, conveying a sense of control and wellbeing while managing a chronic condition.
endometriosis-life-insurance-gp-explanation-featured;A compassionate female GP is shown talking to a patient in a modern clinic, explaining a diagram of the female reproductive system to help the patient understand endometriosis.
endometriosis-life-insurance-cyclical-symptoms-calendar-midcon;A simple animated graphic calendar showing a month with some days marked with a 'pain' symbol, visually representing the cyclical nature of endometriosis symptoms for many women.
epilepsy-life-insurance-safe-family-activity-banner;A person with epilepsy is shown enjoying a safe and fun activity with their family, like walking in a park, conveying a sense of a well-managed life not defined by their condition.
epilepsy-life-insurance-neurologist-eeg-results-featured;A compassionate neurologist is showing a patient a clear EEG reading on a screen, explaining how their medication is working effectively, in a calm clinic setting.
epilepsy-life-insurance-brain-seizure-graphic-midcon;A simple animated graphic of a brain, showing a 'calm' state versus a 'seizure' state with a burst of electrical activity, to clearly illustrate the basics of epilepsy.
erectile-dysfunction-strong-relationship-couple-banner;A healthy-looking and happy couple in their 50s are laughing together on a sofa, conveying a sense of a strong, intimate relationship that is not defined by a common health issue.
erectile-dysfunction-gp-consultation-trust-featured;A compassionate and professional-looking GP is seen discussing treatment options with a male patient in a private and comfortable consultation room, building a sense of trust and proactive healthcare.
erectile-dysfunction-blood-flow-graphic-midcon;A simple, clear graphic showing a cutaway of a blood vessel, illustrating the difference between healthy blood flow and restricted blood flow caused by conditions like atherosclerosis, which can lead to ED.
fatty-liver-disease-healthy-lifestyle-choices-banner;A person is shown happily preparing a fresh, healthy salad in a bright, modern kitchen, symbolising positive lifestyle choices for liver health.
fatty-liver-disease-positive-test-results-featured;A compassionate GP is seen discussing positive liver function test results on a tablet screen with a relieved patient, conveying successful health management.
fatty-liver-disease-liver-progression-graphic-midcon;A simple, clear animated graphic showing the liver, illustrating the progression from a healthy liver, to a fatty liver, and then to a fibrotic liver, highlighting the importance of early action.
fibromyalgia-life-insurance-calm-hobby-wellbeing-banner;A person with fibromyalgia is shown enjoying a gentle, mindful activity like painting in a peaceful garden setting, conveying a sense of calm and well-managed wellbeing.
fibromyalgia-life-insurance-physiotherapy-management-featured;A compassionate physiotherapist is demonstrating a gentle stretching exercise to a patient in a bright and welcoming clinic, representing proactive pain management.
fibromyalgia-life-insurance-widespread-pain-graphic-midcon;A simple animated graphic of the human body with 'pain points' highlighted, visually explaining the concept of widespread pain in fibromyalgia.
gallstones-life-insurance-healthy-lifestyle-hydration-banner;A person is shown enjoying a large glass of water after exercising, looking healthy and hydrated, visually linking to a key preventative measure for kidney stones.
gallstones-life-insurance-urologist-reassurance-featured;A compassionate urologist is seen explaining a kidney X-ray on a screen to a patient, showing a small kidney stone and reassuring them about the treatment plan.
gallstones-life-insurance-urinary-system-graphic-midcon;A simple animated graphic of the urinary system (kidneys, ureters, bladder), clearly showing where a kidney stone can form and travel.
gastric-band-life-insurance-charity-race-celebration-banner;A person who has had weight loss surgery is shown celebrating as they cross the finish line of a 10k charity race, looking fit, healthy and full of life.
gastric-band-life-insurance-bariatric-consultant-progress-featured;A compassionate bariatric consultant is showing a patient their impressive weight loss progress on a graph, conveying a sense of achievement and shared success.
gastric-band-life-insurance-stomach-surgery-comparison-midcon;A simple animated graphic of the stomach, clearly illustrating the differences between a gastric band, a gastric sleeve, and a gastric bypass procedure.
haemochromatosis-life-insurance-blood-donation-positive-banner;A healthy and active person in their 40s is shown donating blood, with a smile, visually linking the venesection treatment for haemochromatosis with a positive, life-giving act.
haemochromatosis-life-insurance-phlebotomist-reassurance-featured;A close-up, reassuring shot of a phlebotomist gently taking a blood sample from a patient, conveying a sense of routine and professional health management.
haemochromatosis-life-insurance-liver-comparison-graphic-midcon;A simple, clear animated graphic showing the liver, highlighting the difference between a healthy liver and one with iron overload, demonstrating the importance of treatment.
haemophilia-life-insurance-safe-family-activity-banner;A father with haemophilia is shown safely teaching his young son to ride a bike (both wearing helmets), in a sunny park, conveying a sense of normal family life and responsible parenting.
haemophilia-life-insurance-nurse-factor-treatment-featured;A close-up photograph of a nurse at a haemophilia centre carefully administering factor treatment to a patient, highlighting a sense of calm, professional care.
haemophilia-life-insurance-blood-clotting-graphic-midcon;A simple, animated graphic showing a blood vessel with platelets and clotting factors, comparing a normal vessel to one lacking sufficient clotting factor to illustrate how haemophilia works.
heart-conditions-life-insurance-active-hiking-wellbeing-banner;A healthy and active person in their 50s is seen hiking up a beautiful hill in the UK, looking out at the view with a sense of accomplishment and wellbeing.
heart-conditions-life-insurance-doctor-explanation-reassurance-featured;A compassionate and professional-looking doctor is explaining a healthy heart-rate graph on a tablet to a relieved-looking patient in a modern, bright clinic.
heart-conditions-life-insurance-health-management-icons-midcon;A simple animated graphic of a heart, with icons representing 'medication', 'exercise', 'diet', and 'check-ups' orbiting it, symbolising good management of a heart condition.
heart-disease-life-insurance-happy-hiking-couple-banner;A healthy-looking and happy couple in their 60s are shown laughing and walking hand-in-hand on a UK beach, enjoying their retirement and symbolising a full life after a heart disease diagnosis.
heart-disease-life-insurance-doctor-ecg-explanation-featured;A close-up, reassuring shot of a doctor explaining a healthy ECG reading on a screen to a patient, symbolising good management and positive outcomes.
heart-disease-life-insurance-artery-bypass-graphic-midcon;A simple, animated graphic of a heart, showing a bypass graft or a stent successfully restoring blood flow to the heart muscle.
hidradenitis-suppurativa-body-positivity-beach-banner;A person with Hidradenitis Suppurativa is shown confidently enjoying a day at a UK beach, wearing comfortable swimwear, conveying a sense of body positivity and not letting their condition hold them back.
hidradenitis-suppurativa-dermatologist-explanation-featured;A compassionate dermatologist is seen talking with a patient in a calm, modern clinic, explaining the Hurley staging system on a clear diagram, empowering the patient with knowledge.
hidradenitis-suppurativa-hair-follicle-graphic-midcon;A simple animated graphic of a skin cross-section, showing a blocked hair follicle to illustrate the basic cause of an HS lesion.
high-bmi-life-insurance-hill-climb-celebration-banner;A person is shown celebrating at the top of a UK hill they have just climbed, looking happy and healthy, conveying the positive results of a healthier lifestyle.
high-bmi-life-insurance-dietician-meal-plan-featured;A compassionate and professional-looking dietician is seen discussing a healthy meal plan with a client, using colourful food models to make it engaging and positive.
high-bmi-life-insurance-bmi-chart-graphic-midcon;A simple graphic chart showing the BMI categories from underweight to obese, with a clear arrow indicating the "healthy weight" zone, for simple educational context.
hodgkins-lymphoma-survivor-graduation-banner;A young adult Hodgkin's Lymphoma survivor is shown graduating from university, looking happy and optimistic, conveying a message of a full life and future ahead after cancer.
hodgkins-lymphoma-haematologist-remission-scan-featured;A compassionate haematologist is seen explaining a clear PET scan on a screen to a relieved patient, confirming their remission in a calm and positive clinical setting.
hodgkins-lymphoma-lymphatic-system-graphic-midcon;A simple, animated graphic of the human lymphatic system, showing the network of lymph nodes to illustrate where Hodgkin's Lymphoma develops.
huntingtons-disease-family-legacy-support-banner;A poignant, hopeful photograph of a multi-generational family walking together in a beautiful UK park, conveying a sense of family unity, support, and planning for the future across generations.
huntingtons-disease-genetic-counsellor-support-featured;A compassionate genetic counsellor is seen sitting with a couple, explaining a family health history chart on a tablet in a calm, supportive clinic environment.
huntingtons-disease-dna-helix-graphic-midcon;A simple animated graphic of a DNA helix, with one chromosome highlighted on the 21st pair to visually explain Trisomy 21.
hydrocephalus-life-insurance-life-goal-achievement-banner;A person who has lived with a shunt since childhood is shown achieving a life goal, such as graduating or buying their first home, conveying a sense of a full and successful life.
hydrocephalus-life-insurance-neurosurgeon-explanation-featured;A compassionate neurosurgeon is seen explaining a brain scan to a patient and their family, pointing out a shunt and how it works, in a calm and reassuring clinic environment.
hydrocephalus-life-insurance-csf-flow-graphic-midcon;A simple animated graphic of the brain, clearly illustrating the ventricles and the flow of cerebrospinal fluid (CSF), showing how a shunt works to relieve pressure.
hyperparathyroidism-life-insurance-gardening-vitality-banner;A healthy and active older woman is pictured enjoying gardening in a sunny UK garden, conveying a sense of vitality and wellbeing after successful treatment for a parathyroid condition.
hyperparathyroidism-life-insurance-endocrinologist-results-featured;A compassionate endocrinologist is showing a patient their normal blood calcium results on a computer screen, explaining how their condition is now well-managed.
hyperparathyroidism-life-insurance-gland-location-graphic-midcon;A simple animated graphic of the neck area, clearly showing the four small parathyroid glands located behind the thyroid gland, for clear anatomical context.
income-protection-for-pre-existing-conditions-return-to-work-banner;A person who has recovered from an injury is shown confidently returning to their workplace, being greeted warmly by colleagues, symbolising the security income protection provides.
